sp_1	sp_2	sp_3	sp_4	sp_5	sp_6	sp_7
-61.64322	-51.38033	-59.41623	-46.86801	-46.57211	-46.57211	-59.32349
-62.91239	-51.39314	-61.3033	-47.16	-45.87345	-45.87345	-59.2483
-64.31292	-51.48159	-62.91123	-47.7212	-45.31788	-45.31788	-59.16948
-65.69332	-51.64918	-63.20612	-48.56428	-44.93405	-44.93405	-59.08624
-66.66766	-51.90096	-61.85133	-49.68655	-44.73623	-44.73623	-58.99784
-66.70922	-52.24396	-59.83136	-51.02091	-44.73289	-44.73289	-58.90358
-65.72708	-52.68783	-57.87612	-52.31266	-44.93085	-44.93085	-58.80284
-64.19843	-53.24578	-56.18195	-52.99218	-45.33622	-45.33622	-58.69511
-62.57495	-53.93611	-54.75433	-52.55412	-45.95213	-45.95213	-58.57993
-61.05836	-54.7848	-53.55876	-51.27481	-46.77022	-46.77022	-58.45701
-59.70374	-55.82991	-52.55987	-49.79036	-47.74905	-47.74905	-58.32611
-58.51148	-57.12998	-51.72906	-48.46379	-48.76885	-48.76885	-58.18717
-57.46633	-58.78109	-51.04465	-47.41185	-49.5735	-49.5735	-58.04021
-56.55076	-60.95665	-50.49065	-46.65483	-49.81427	-49.81427	-57.88539
-55.74895	-64.01732	-50.05548	-46.18781	-49.33355	-49.33355	-57.72296
-55.04769	-68.90062	-49.73107	-46.00512	-48.35207	-48.35207	-57.55327
-54.43625	-77.6355	-49.51224	-46.10858	-47.21755	-47.21755	-57.37679
-53.906	-71.24552	-49.39627	-46.51096	-46.16008	-46.16008	-57.19404
-53.45007	-65.08559	-49.38276	-47.23834	-45.2825	-45.2825	-57.0056
-53.06296	-61.4027	-49.47361	-48.33129	-44.62059	-44.62059	-56.8121
-52.74036	-58.81945	-49.67325	-49.83686	-44.18379	-44.18379	-56.61421
-52.47885	-56.85213	-49.98909	-51.75159	-43.97424	-43.97424	-56.4126
-52.27583	-55.28271	-50.43238	-53.75631	-43.99486	-43.99486	-56.20798
-52.12931	-53.99529	-51.01956	-54.64538	-44.25277	-44.25277	-56.001
-52.03788	-52.92124	-51.77471	-53.42055	-44.76058	-44.76058	-55.79235
-52.00058	-52.01681	-52.73368	-51.26266	-45.53561	-45.53561	-55.58265
-52.01684	-51.2526	-53.95208	-49.26807	-46.59362	-46.59362	-55.37252
-52.08637	-50.60812	-55.52153	-47.69442	-47.92466	-47.92466	-55.16253
-52.20909	-50.06871	-57.60773	-46.53434	-49.41535	-49.41535	-54.9532
-52.38497	-49.62375	-60.55748	-45.74307	-50.6704	-50.6704	-54.74504
-52.61383	-49.26555	-65.31219	-45.28578	-50.96877	-50.96877	-54.5385
-52.89503	-48.98862	-76.32909	-45.14461	-50.03516	-50.03516	-54.33397
-53.22699	-48.78924	-70.1262	-45.31923	-48.48603	-48.48603	-54.13183
-53.60647	-48.66515	-62.75049	-45.82841	-46.93159	-46.93159	-53.9324
-54.02741	-48.61539	-58.78636	-46.71499	-45.61389	-45.61389	-53.73595
-54.4794	-48.64023	-56.10393	-48.05633	-44.58584	-44.58584	-53.54274
-54.94548	-48.74116	-54.10652	-49.97997	-43.84313	-43.84313	-53.35296
-55.39983	-48.92099	-52.54423	-52.65049	-43.37151	-43.37151	-53.16679
-55.80611	-49.18397	-51.28913	-55.85157	-43.16091	-43.16091	-52.98437
-56.11873	-49.53607	-50.26733	-56.79792	-43.20972	-43.20972	-52.80579
-56.28954	-49.98537	-49.43271	-53.87615	-43.52657	-43.52657	-52.63113
-56.28063	-50.54253	-48.75498	-50.74985	-44.13236	-44.13236	-52.46044
-56.07818	-51.22156	-48.21361	-48.39649	-45.06274	-45.06274	-52.29372
-55.69825	-52.04055	-47.79454	-46.70051	-46.36943	-46.36943	-52.13096
-55.17996	-53.02247	-47.48827	-45.51207	-48.10744	-48.10744	-51.97213
-54.57138	-54.19455	-47.28874	-44.73622	-50.24229	-50.24229	-51.81716
-53.91713	-55.58261	-47.19266	-44.32014	-52.22689	-52.22689	-51.66596
-53.25229	-57.18628	-47.19916	-44.24096	-52.46842	-52.46842	-51.51842
-52.60143	-58.89288	-47.3097	-44.50056	-50.61597	-50.61597	-51.3744
-51.98044	-60.2658	-47.52809	-45.12692	-48.30894	-48.30894	-51.23374
-51.39883	-60.49098	-47.86081	-46.18376	-46.34369	-46.34369	-51.09625
-50.86183	-59.32083	-48.31744	-47.79581	-44.8205	-44.8205	-50.96173
-50.37192	-57.4952	-48.91144	-50.21285	-43.69285	-43.69285	-50.82994
-49.92991	-55.6448	-49.6611	-53.97771	-42.90803	-42.90803	-50.70064
-49.53559	-53.98504	-50.59064	-59.83389	-42.42954	-42.42954	-50.57355
-49.18821	-52.54645	-51.73051	-59.03161	-42.23801	-42.23801	-50.44838
-48.88671	-51.30888	-53.11341	-53.21872	-42.32978	-42.32978	-50.3248
-48.6299	-50.24419	-54.75256	-49.50958	-42.7174	-42.7174	-50.20247
-48.41652	-49.32719	-56.55505	-47.06243	-43.43302	-43.43302	-50.08105
-48.2453	-48.53755	-58.07375	-45.38301	-44.53689	-44.53689	-49.96016
-48.11493	-47.85935	-58.36253	-44.24265	-46.13451	-46.13451	-49.83941
-48.02403	-47.28025	-57.0924	-43.52725	-48.40644	-48.40644	-49.71839
-47.97112	-46.79073	-55.14162	-43.18036	-51.60375	-51.60375	-49.59669
-47.95451	-46.38344	-53.21583	-43.18109	-55.22146	-55.22146	-49.47389
-47.97219	-46.05278	-51.52633	-43.53721	-54.59878	-54.59878	-49.34956
-48.02168	-45.79452	-50.08978	-44.28815	-50.71686	-50.71686	-49.22328
-48.09985	-45.60555	-48.87712	-45.52069	-47.54906	-47.54906	-49.09462
-48.20268	-45.4837	-47.85539	-47.41304	-45.26659	-45.26659	-48.96318
-48.32501	-45.42759	-46.99694	-50.37135	-43.62117	-43.62117	-48.82854
-48.46027	-45.43648	-46.28029	-55.63491	-42.4492	-42.4492	-48.69035
-48.60019	-45.51015	-45.68915	-74.8786	-41.65654	-41.65654	-48.54823
-48.73472	-45.64876	-45.2113	-57.51548	-41.19116	-41.19116	-48.40186
-48.85205	-45.85264	-44.83771	-50.98897	-41.02844	-41.02844	-48.25096
-48.9391	-46.12194	-44.56179	-47.46852	-41.16496	-41.16496	-48.09528
-48.98243	-46.45613	-44.37893	-45.1861	-41.61813	-41.61813	-47.93461
-48.96963	-46.85309	-44.28607	-43.62991	-42.43177	-42.43177	-47.76878
-48.89107	-47.30763	-44.28146	-42.58568	-43.69194	-43.69194	-47.5977
-48.74139	-47.80915	-44.36431	-41.94996	-45.56723	-45.56723	-47.4213
-48.5205	-48.33806	-44.53451	-41.67332	-48.42741	-48.42741	-47.23958
-48.23351	-48.86121	-44.7922	-41.73987	-53.32042	-53.32042	-47.05257
-47.8897	-49.32767	-45.13694	-42.16138	-65.30149	-65.30149	-46.86039
-47.50097	-49.66933	-45.5665	-42.98066	-56.40421	-56.40421	-46.66316
-47.0801	-49.81293	-46.07446	-44.28623	-49.66116	-49.66116	-46.46107
-46.63938	-49.70566	-46.64628	-46.24845	-45.99532	-45.99532	-46.25436
-46.18971	-49.34081	-47.2529	-49.19966	-43.5911	-43.5911	-46.04329
-45.74021	-48.76124	-47.84224	-53.63235	-41.91183	-41.91183	-45.82814
-45.29812	-48.03738	-48.33248	-56.40983	-40.73122	-40.73122	-45.60925
-44.86895	-47.23965	-48.61866	-51.73013	-39.93722	-39.93722	-45.38694
-44.45672	-46.42287	-48.60629	-47.57551	-39.47156	-39.47156	-45.16159
-44.06424	-45.62351	-48.26209	-44.75815	-39.30696	-39.30696	-44.93355
-43.69333	-44.86324	-47.63574	-42.79152	-39.43831	-39.43831	-44.70319
