fre,mag
0.96,-31.12559
0.963,-31.01392
0.966,-30.90689
0.969,-30.80677
0.972,-30.71551
0.975,-30.63479
0.978,-30.56599
0.981,-30.51021
0.984,-30.46828
0.987,-30.4408
0.99,-30.42811
0.993,-30.43033
0.996,-30.44734
0.999,-30.47881
1.002,-30.52415
1.005,-30.58254
1.008,-30.6529
1.011,-30.7339
1.014,-30.82392
1.017,-30.92105
1.02,-31.02314
1.023,-31.12774
1.026,-31.23222
1.029,-31.33374
1.032,-31.42943
1.035,-31.51641
1.038,-31.59198
1.041,-31.65373
1.044,-31.69969
1.047,-31.7285
1.05,-31.73947
1.053,-31.73265
1.056,-31.7088
1.059,-31.66942
1.062,-31.61655
1.065,-31.55273
1.068,-31.48078
1.071,-31.40372
1.074,-31.32457
1.077,-31.24631
1.08,-31.17176
1.083,-31.1035
1.086,-31.04388
1.089,-30.99496
1.092,-30.95854
1.095,-30.93613
1.098,-30.92896
1.101,-30.93801
1.104,-30.96398
1.107,-31.00731
1.11,-31.06818
1.113,-31.14647
1.116,-31.24178
1.119,-31.35333
1.122,-31.48
1.125,-31.62023
1.128,-31.77198
1.131,-31.9327
1.134,-32.09927
1.137,-32.26799
1.14,-32.4346
1.143,-32.59433
1.146,-32.74208
1.149,-32.87262
1.152,-32.98089
1.155,-33.06242
1.158,-33.11362
1.161,-33.13224
1.164,-33.11753
1.167,-33.07038
1.17,-32.99318
1.173,-32.88964
1.176,-32.76438
1.179,-32.62259
1.182,-32.46963
1.185,-32.31072
1.188,-32.15076
1.191,-31.99414
1.194,-31.84465
1.197,-31.70554
1.2,-31.57945
1.203,-31.46849
1.206,-31.37427
1.209,-31.29794
1.212,-31.24025
1.215,-31.20152
1.218,-31.18172
1.221,-31.1804
1.224,-31.19677
1.227,-31.22958
1.23,-31.27716
1.233,-31.33736
1.236,-31.40751
1.239,-31.48439
1.242,-31.56426
1.245,-31.64285
1.248,-31.71547
1.251,-31.77714
1.254,-31.8228
1.257,-31.84766
1.26,-31.84743
1.263,-31.8188
1.266,-31.75962
1.269,-31.66921
1.272,-31.54836
1.275,-31.39924
1.278,-31.22523
1.281,-31.03055
1.284,-30.81993
1.287,-30.59826
1.29,-30.37035
1.293,-30.14068
1.296,-29.91328
1.299,-29.69167
1.302,-29.47881
1.305,-29.27716
1.308,-29.08864
1.311,-28.91475
1.314,-28.75655
1.317,-28.61472
1.32,-28.4896
1.323,-28.3812
1.326,-28.28924
1.329,-28.21312
1.332,-28.15194
1.335,-28.10452
1.338,-28.06932
1.341,-28.04453
1.344,-28.02794
1.347,-28.01707
1.35,-28.00906
1.353,-28.00081
1.356,-27.98895
1.359,-27.96997
1.362,-27.94036
1.365,-27.8967
1.368,-27.83589
1.371,-27.75532
1.374,-27.65298
1.377,-27.52766
1.38,-27.37899
1.383,-27.20742
1.386,-27.01421
1.389,-26.80126
1.392,-26.57096
1.395,-26.326
1.398,-26.06924
1.401,-25.80346
1.404,-25.53131
1.407,-25.25518
1.41,-24.97713
1.413,-24.69887
1.416,-24.42173
1.419,-24.14667
1.422,-23.8743
1.425,-23.60491
1.428,-23.33846
1.431,-23.07466
1.434,-22.81297
1.437,-22.55266
1.44,-22.29281
1.443,-22.03242
1.446,-21.77035
1.449,-21.50549
1.452,-21.2367
1.455,-20.9629
1.458,-20.68312
1.461,-20.39653
1.464,-20.10248
1.467,-19.80051
1.47,-19.4904
1.473,-19.17215
1.476,-18.84598
1.479,-18.51234
1.482,-18.17186
1.485,-17.82532
1.488,-17.47365
1.491,-17.11785
1.494,-16.759
1.497,-16.39821
1.5,-16.03656
1.503,-15.67514
1.506,-15.31499
1.509,-14.95707
1.512,-14.6023
1.515,-14.25152
1.518,-13.90548
1.521,-13.56488
1.524,-13.23032
1.527,-12.90236
1.53,-12.58146
1.533,-12.26805
1.536,-11.96249
1.539,-11.66509
1.542,-11.37614
1.545,-11.09585
1.548,-10.82444
1.551,-10.56208
1.554,-10.30892
1.557,-10.06509
1.56,-9.83071
1.563,-9.60588
1.566,-9.39068
1.569,-9.18522
1.572,-8.98955
1.575,-8.80377
1.578,-8.62795
1.581,-8.46216
1.584,-8.30648
1.587,-8.16099
1.59,-8.02578
1.593,-7.90094
1.596,-7.78656
1.599,-7.68274
1.602,-7.58959
1.605,-7.50724
1.608,-7.4358
1.611,-7.37542
1.614,-7.32625
1.617,-7.28843
1.62,-7.26213
1.623,-7.24755
1.626,-7.24485
1.629,-7.25427
1.632,-7.27599
1.635,-7.31028
1.638,-7.35735
1.641,-7.41749
1.644,-7.49097
1.647,-7.57807
1.65,-7.67912
1.653,-7.79443
1.656,-7.92437
1.659,-8.06928
1.662,-8.22956
1.665,-8.40561
1.668,-8.59785
1.671,-8.80671
1.674,-9.03266
1.677,-9.27615
1.68,-9.53767
1.683,-9.81769
1.686,-10.11668
1.689,-10.43512
1.692,-10.77342
1.695,-11.13195
1.698,-11.51103
1.701,-11.91081
1.704,-12.3313
1.707,-12.77227
1.71,-13.23316
1.713,-13.71295
1.716,-14.21006
1.719,-14.72213
1.722,-15.24583
1.725,-15.77666
1.728,-16.30869
1.731,-16.83442
1.734,-17.34477
1.737,-17.82932
1.74,-18.27685
1.743,-18.67633
1.746,-19.0183
1.749,-19.29625
1.752,-19.50783
1.755,-19.65538
1.758,-19.74565
1.761,-19.78874
1.764,-19.79676
1.767,-19.78244
1.77,-19.758
1.773,-19.73457
1.776,-19.7218
1.779,-19.72793
1.782,-19.75988
1.785,-19.82355
1.788,-19.92404
1.791,-20.06597
1.794,-20.25371
1.797,-20.49162
1.8,-20.78429
1.803,-21.13682
1.806,-21.55503
1.809,-22.04585
1.812,-22.61766
1.815,-23.28086
1.818,-24.04849
1.821,-24.93714
1.824,-25.96802
1.827,-27.16795
1.83,-28.56911
1.833,-30.20259
1.836,-32.06818
1.839,-34.02274
1.842,-35.50972
1.845,-35.60605
1.848,-34.29268
1.851,-32.49022
1.854,-30.77239
1.857,-29.29122
1.86,-28.05058
1.863,-27.02151
1.866,-26.17368
1.869,-25.48215
1.872,-24.92766
1.875,-24.49559
1.878,-24.17474
1.881,-23.95615
1.884,-23.832
1.887,-23.79423
1.89,-23.8328
1.893,-23.93316
1.896,-24.07282
1.899,-24.21693
1.902,-24.31458
1.905,-24.29952
1.908,-24.10132
1.911,-23.66844
1.914,-22.99156
1.917,-22.10764
1.92,-21.08079
1.923,-19.97702
1.926,-18.84891
1.929,-17.73212
1.932,-16.6481
1.935,-15.60842
1.938,-14.61833
1.941,-13.67936
1.944,-12.79091
1.947,-11.95128
1.95,-11.15824
1.953,-10.40935
1.956,-9.7022
1.959,-9.03445
1.962,-8.40392
1.965,-7.80863
1.968,-7.24672
1.971,-6.71654
1.974,-6.2166
1.977,-5.74552
1.98,-5.3021
1.983,-4.88524
1.986,-4.49395
1.989,-4.12735
1.992,-3.78466
1.995,-3.46517
1.998,-3.16825
2.001,-2.89336
2.004,-2.64
2.007,-2.40776
2.01,-2.19625
2.013,-2.00518
2.016,-1.83427
2.019,-1.68331
2.022,-1.55214
2.025,-1.44063
2.028,-1.34872
2.031,-1.27635
2.034,-1.22355
2.037,-1.19036
2.04,-1.17688
2.043,-1.18324
2.046,-1.20963
2.049,-1.25626
2.052,-1.3234
2.055,-1.41136
2.058,-1.52048
2.061,-1.65117
2.064,-1.80385
2.067,-1.97898
2.07,-2.17705
2.073,-2.39858
2.076,-2.64407
2.079,-2.91401
2.082,-3.20881
2.085,-3.52879
2.088,-3.87407
2.091,-4.24448
2.094,-4.63939
2.097,-5.05752
2.1,-5.49664
2.103,-5.9532
2.106,-6.42181
2.109,-6.89468
2.112,-7.36104
2.115,-7.80661
2.118,-8.21362
2.121,-8.56161
2.124,-8.82941
2.127,-8.99843
2.13,-9.05647
2.133,-9.00069
2.136,-8.8383
2.139,-8.58477
2.142,-8.26025
2.145,-7.88586
2.148,-7.481
2.151,-7.06185
2.154,-6.64101
2.157,-6.22779
2.16,-5.82875
2.163,-5.44831
2.166,-5.08926
2.169,-4.75327
2.172,-4.44117
2.175,-4.15321
2.178,-3.88927
2.181,-3.64896
2.184,-3.43171
2.187,-3.23684
2.19,-3.06361
2.193,-2.91122
2.196,-2.77888
2.199,-2.66576
2.202,-2.57101
2.205,-2.4938
2.208,-2.43329
2.211,-2.38861
2.214,-2.35891
2.217,-2.34331
2.22,-2.3409
2.223,-2.35077
2.226,-2.37199
2.229,-2.40359
2.232,-2.4446
2.235,-2.49401
2.238,-2.5508
2.241,-2.61395
2.244,-2.68242
2.247,-2.75521
2.25,-2.83131
2.253,-2.90977
2.256,-2.9897
2.259,-3.07026
2.262,-3.15072
2.265,-3.23047
2.268,-3.30902
2.271,-3.38602
2.274,-3.46126
2.277,-3.53473
2.28,-3.60653
2.283,-3.67695
2.286,-3.74642
2.289,-3.81549
2.292,-3.88486
2.295,-3.95529
2.298,-4.02767
2.301,-4.1029
2.304,-4.18196
2.307,-4.26582
2.31,-4.35546
2.313,-4.45184
2.316,-4.55588
2.319,-4.66848
2.322,-4.79043
2.325,-4.92247
2.328,-5.06523
2.331,-5.21925
2.334,-5.38493
2.337,-5.5625
2.34,-5.75203
2.343,-5.95337
2.346,-6.16612
2.349,-6.38957
2.352,-6.62266
2.355,-6.86391
2.358,-7.11135
2.361,-7.36247
2.364,-7.6141
2.367,-7.86247
2.37,-8.1031
2.373,-8.33094
2.376,-8.54043
2.379,-8.72581
2.382,-8.88138
2.385,-9.002
2.388,-9.08348
2.391,-9.12304
2.394,-9.1196
2.397,-9.07393
2.4,-8.98855
2.403,-8.86742
2.406,-8.71557
2.409,-8.53862
2.412,-8.34236
2.415,-8.13239
2.418,-7.91386
2.421,-7.69134
2.424,-7.46876
2.427,-7.24935
2.43,-7.03575
2.433,-6.83003
2.436,-6.63375
2.439,-6.44805
2.442,-6.27371
2.445,-6.11119
2.448,-5.9607
2.451,-5.82222
2.454,-5.69556
2.457,-5.58036
2.46,-5.47613
2.463,-5.38225
2.466,-5.29801
2.469,-5.22261
2.472,-5.15516
2.475,-5.09472
2.478,-5.04029
2.481,-4.99082
2.484,-4.94525
2.487,-4.90249
2.49,-4.86148
2.493,-4.82117
2.496,-4.78056
2.499,-4.73872
2.502,-4.69482
2.505,-4.64812
2.508,-4.59803
2.511,-4.54407
2.514,-4.48593
2.517,-4.42347
2.52,-4.35668
2.523,-4.28571
2.526,-4.21085
2.529,-4.13254
2.532,-4.05129
2.535,-3.96772
2.538,-3.88254
2.541,-3.79646
2.544,-3.71027
2.547,-3.62474
2.55,-3.54064
2.553,-3.45871
2.556,-3.37968
2.559,-3.30421
2.562,-3.23295
2.565,-3.16645
2.568,-3.10525
2.571,-3.04979
2.574,-3.00048
2.577,-2.95767
2.58,-2.92165
2.583,-2.89266
2.586,-2.87088
2.589,-2.85644
2.592,-2.84946
2.595,-2.84997
2.598,-2.858
2.601,-2.87353
2.604,-2.89649
2.607,-2.92683
2.61,-2.96443
2.613,-3.00917
2.616,-3.06092
2.619,-3.11953
2.622,-3.18484
2.625,-3.25669
2.628,-3.33494
2.631,-3.41943
2.634,-3.51004
2.637,-3.60666
2.64,-3.70921
2.643,-3.81763
2.646,-3.93192
2.649,-4.05211
2.652,-4.17828
2.655,-4.31059
2.658,-4.44925
2.661,-4.59454
2.664,-4.74681
2.667,-4.9065
2.67,-5.07414
2.673,-5.25035
2.676,-5.43584
2.679,-5.63143
2.682,-5.83805
2.685,-6.05673
2.688,-6.28866
2.691,-6.53512
2.694,-6.79759
2.697,-7.07766
2.7,-7.37713
2.703,-7.69802
2.706,-8.04256
2.709,-8.41326
2.712,-8.81292
2.715,-9.24474
2.718,-9.71228
2.721,-10.2196
2.724,-10.77125
2.727,-11.37231
