fre,mag
1.572,-10.65211
1.575,-10.38099
1.578,-10.12471
1.581,-9.8834
1.584,-9.65714
1.587,-9.44595
1.59,-9.24986
1.593,-9.06886
1.596,-8.90291
1.599,-8.75196
1.602,-8.61593
1.605,-8.49474
1.608,-8.38828
1.611,-8.29645
1.614,-8.21911
1.617,-8.15612
1.62,-8.10732
1.623,-8.07256
1.626,-8.05165
1.629,-8.0444
1.632,-8.05061
1.635,-8.07006
1.638,-8.10252
1.641,-8.14775
1.644,-8.20549
1.647,-8.27548
1.65,-8.35743
1.653,-8.45105
1.656,-8.55604
1.659,-8.67209
1.662,-8.79888
1.665,-8.93612
1.668,-9.08347
1.671,-9.24065
1.674,-9.40736
1.677,-9.58334
1.68,-9.76836
1.683,-9.96221
1.686,-10.16476
1.689,-10.37589
1.692,-10.5956
1.695,-10.82393
1.698,-11.06102
1.701,-11.3071
1.704,-11.5625
1.707,-11.82768
1.71,-12.1032
1.713,-12.38975
1.716,-12.68815
1.719,-12.99933
1.722,-13.32437
1.725,-13.66447
1.728,-14.02096
1.731,-14.39528
1.734,-14.78901
1.737,-15.2038
1.74,-15.64144
1.743,-16.10374
1.746,-16.59259
1.749,-17.10983
1.752,-17.65722
1.755,-18.23629
1.758,-18.84819
1.761,-19.49333
1.764,-20.17103
1.767,-20.8788
1.77,-21.61153
1.773,-22.36022
1.776,-23.11056
1.779,-23.84158
1.782,-24.52511
1.785,-25.1274
1.788,-25.6141
1.791,-25.95866
1.794,-26.15097
1.797,-26.2016
1.8,-26.13856
1.803,-25.99906
1.806,-25.82085
1.809,-25.6368
1.812,-25.47296
1.815,-25.34898
1.818,-25.2795
1.821,-25.2758
1.824,-25.34713
1.827,-25.50192
1.83,-25.74869
1.833,-26.09674
1.836,-26.5568
1.839,-27.14128
1.842,-27.86401
1.845,-28.73813
1.848,-29.76919
1.851,-30.93549
1.854,-32.13919
1.857,-33.11935
1.86,-33.43894
1.863,-32.82115
1.866,-31.50367
1.869,-29.92867
1.872,-28.37487
1.875,-26.95027
1.878,-25.68041
1.881,-24.5608
1.884,-23.5784
1.887,-22.71933
1.89,-21.97123
1.893,-21.32379
1.896,-20.76871
1.899,-20.29935
1.902,-19.91046
1.905,-19.59785
1.908,-19.35804
1.911,-19.188
1.914,-19.08462
1.917,-19.04421
1.92,-19.06162
1.923,-19.12909
1.926,-19.23453
1.929,-19.35929
1.932,-19.47576
1.935,-19.5458
1.938,-19.52213
1.941,-19.35551
1.944,-19.00794
1.947,-18.46656
1.95,-17.7487
1.953,-16.89433
1.956,-15.95147
1.959,-14.96405
1.962,-13.96608
1.965,-12.98107
1.968,-12.02389
1.971,-11.10316
1.974,-10.22335
1.977,-9.38624
1.98,-8.59201
1.983,-7.83991
1.986,-7.12864
1.989,-6.45667
1.992,-5.82239
1.995,-5.22417
1.998,-4.66047
2.001,-4.12982
2.004,-3.63089
2.007,-3.16241
2.01,-2.72327
2.013,-2.31245
2.016,-1.92901
2.019,-1.57215
2.022,-1.24112
2.025,-0.93528
2.028,-0.65405
2.031,-0.39694
2.034,-0.16351
2.037,0.04658
2.04,0.23365
2.043,0.39794
2.046,0.53962
2.049,0.65883
2.052,0.75564
2.055,0.83007
2.058,0.8821
2.061,0.91163
2.064,0.91855
2.067,0.90266
2.07,0.86374
2.073,0.80149
2.076,0.7156
2.079,0.60568
2.082,0.47132
2.085,0.31206
2.088,0.12744
2.091,-0.08306
2.094,-0.3199
2.097,-0.58354
2.1,-0.87432
2.103,-1.19246
2.106,-1.53791
2.109,-1.91025
2.112,-2.3085
2.115,-2.73084
2.118,-3.17428
2.121,-3.6342
2.124,-4.10379
2.127,-4.57344
2.13,-5.03016
2.133,-5.45737
2.136,-5.83528
2.139,-6.14248
2.142,-6.35878
2.145,-6.46904
2.148,-6.46668
2.151,-6.35537
2.154,-6.14811
2.157,-5.86406
2.16,-5.52465
2.163,-5.1504
2.166,-4.75895
2.169,-4.36435
2.172,-3.97718
2.175,-3.60501
2.178,-3.25304
2.181,-2.92468
2.184,-2.62203
2.187,-2.34625
2.19,-2.09785
2.193,-1.8769
2.196,-1.68316
2.199,-1.51617
2.202,-1.37537
2.205,-1.26009
2.208,-1.16958
2.211,-1.10308
2.214,-1.05976
2.217,-1.03877
2.22,-1.03921
2.223,-1.06013
2.226,-1.10052
2.229,-1.1593
2.232,-1.23529
2.235,-1.32721
2.238,-1.43364
2.241,-1.55304
2.244,-1.68372
2.247,-1.82383
2.25,-1.97136
2.253,-2.12415
2.256,-2.27993
2.259,-2.4363
2.262,-2.59087
2.265,-2.74124
2.268,-2.88514
2.271,-3.02049
2.274,-3.14553
2.277,-3.25888
2.28,-3.35964
2.283,-3.44744
2.286,-3.52245
2.289,-3.58542
2.292,-3.63756
2.295,-3.68053
2.298,-3.71635
2.301,-3.74728
2.304,-3.77572
2.307,-3.80414
2.31,-3.83499
2.313,-3.87063
2.316,-3.91331
2.319,-3.96509
2.322,-4.02787
2.325,-4.10334
2.328,-4.19302
2.331,-4.29818
2.334,-4.41994
2.337,-4.55918
2.34,-4.71659
2.343,-4.89263
2.346,-5.08752
2.349,-5.30121
2.352,-5.53334
2.355,-5.7832
2.358,-6.04961
2.361,-6.33091
2.364,-6.62483
2.367,-6.92837
2.37,-7.23776
2.373,-7.54834
2.376,-7.85455
2.379,-8.15
2.382,-8.42765
2.385,-8.68015
2.388,-8.90036
2.391,-9.08193
2.394,-9.22003
2.397,-9.31193
2.4,-9.3573
2.403,-9.35834
2.406,-9.31942
2.409,-9.24654
2.412,-9.14671
2.415,-9.02722
2.418,-8.89516
2.421,-8.75699
2.424,-8.61833
2.427,-8.48388
2.43,-8.35737
2.433,-8.24167
2.436,-8.13881
2.439,-8.0501
2.442,-7.97623
2.445,-7.91728
2.448,-7.87284
2.451,-7.84199
2.454,-7.82339
2.457,-7.81527
2.46,-7.81547
2.463,-7.82147
2.466,-7.83045
2.469,-7.83931
2.472,-7.84481
2.475,-7.84364
2.478,-7.83256
2.481,-7.8086
2.484,-7.76918
2.487,-7.71225
2.49,-7.63649
2.493,-7.54133
2.496,-7.42697
2.499,-7.2944
2.502,-7.14525
2.505,-6.98169
2.508,-6.80625
2.511,-6.62169
2.514,-6.43083
2.517,-6.23643
2.52,-6.04106
2.523,-5.8471
2.526,-5.65663
2.529,-5.47146
2.532,-5.29309
2.535,-5.12273
2.538,-4.96132
2.541,-4.80957
2.544,-4.66793
2.547,-4.53668
2.55,-4.41588
2.553,-4.30547
2.556,-4.20522
2.559,-4.11479
2.562,-4.03375
2.565,-3.96155
2.568,-3.89761
2.571,-3.84126
2.574,-3.79182
2.577,-3.7486
2.58,-3.71088
2.583,-3.67798
2.586,-3.64926
2.589,-3.62413
2.592,-3.60207
2.595,-3.58265
2.598,-3.56556
2.601,-3.55057
2.604,-3.53761
2.607,-3.52671
2.61,-3.51805
2.613,-3.51192
2.616,-3.50873
2.619,-3.50901
2.622,-3.51338
2.625,-3.52255
2.628,-3.53731
2.631,-3.5585
2.634,-3.58701
2.637,-3.62376
2.64,-3.66971
2.643,-3.72579
2.646,-3.79298
2.649,-3.87222
2.652,-3.96449
2.655,-4.07071
2.658,-4.19183
2.661,-4.32876
2.664,-4.48242
2.667,-4.65373
2.67,-4.84358
2.673,-5.0529
2.676,-5.28259
2.679,-5.53357
2.682,-5.8068
2.685,-6.10324
2.688,-6.42387
2.691,-6.76973
2.694,-7.14187
2.697,-7.54143
2.7,-7.96956
2.703,-8.42749
2.706,-8.91652
2.709,-9.43802
2.712,-9.99343
2.715,-10.58428
2.718,-11.21222
2.721,-11.87898
2.724,-12.58639
2.727,-13.33642
2.73,-14.13119
2.733,-14.97297
2.736,-15.86419
2.739,-16.80751
2.742,-17.80574
2.745,-18.86176
2.748,-19.97811
2.751,-21.15595
2.754,-22.3924
2.757,-23.67441
2.76,-24.96548
2.763,-26.18084
2.766,-27.15666
2.769,-27.65891
2.772,-27.50808
2.775,-26.74186
2.778,-25.57843
2.781,-24.24008
2.784,-22.86636
2.787,-21.52524
2.79,-20.2444
2.793,-19.03248
2.796,-17.88995
2.799,-16.81407
2.802,-15.80106
2.805,-14.84697
2.808,-13.94803
2.811,-13.10077
2.814,-12.30203
2.817,-11.54891
2.82,-10.8388
2.823,-10.16929
2.826,-9.53818
2.829,-8.94346
2.832,-8.38325
2.835,-7.85583
2.838,-7.35959
2.841,-6.89303
2.844,-6.45475
2.847,-6.04344
2.85,-5.65786
2.853,-5.29683
2.856,-4.95926
2.859,-4.64407
2.862,-4.35025
2.865,-4.07685
2.868,-3.8229
2.871,-3.58752
2.874,-3.36983
2.877,-3.16897
2.88,-2.98412
2.883,-2.81446
2.886,-2.65921
2.889,-2.51761
2.892,-2.38892
2.895,-2.27241
2.898,-2.1674
2.901,-2.07322
2.904,-1.98925
2.907,-1.91489
2.91,-1.84962
2.913,-1.79292
2.916,-1.74437
2.919,-1.70359
2.922,-1.67026
2.925,-1.64415
2.928,-1.62508
2.931,-1.61298
2.934,-1.60785
2.937,-1.60975
2.94,-1.61886
2.943,-1.63542
2.946,-1.65976
2.949,-1.69228
2.952,-1.73348
2.955,-1.78391
2.958,-1.8442
2.961,-1.91504
2.964,-1.99719
2.967,-2.09148
2.97,-2.19879
2.973,-2.32004
2.976,-2.45625
2.979,-2.60848
2.982,-2.77784
2.985,-2.96554
2.988,-3.17285
2.991,-3.40114
2.994,-3.65188
2.997,-3.92666
3,-4.22721
